Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Ready to Move,5600000.0,695.0,,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,7200000.0,1010.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Co-operative Society,Y,
Ready to Move,4000000.0,490.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,3700000.0,577.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,3500000.0,580.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,4350000.0,710.0,506.0,Kalyan,Apartment,1,1.0,,"Kalyan West, Kalyan",N,,Y,
Ready to Move,2400000.0,550.0,385.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,4000000.0,640.0,475.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,N,600.0
Ready to Move,6300000.0,700.0,,Thane,Apartment,2,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,7500000.0,990.0,,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",N,,N,
Ready to Move,3300000.0,500.0,,Thane,Apartment,1,1.0,"1 Covered, 1 Open","Kalyan West, Thane",N,,N,
Under Construction,6800000.0,,461.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,N,
Ready to Move,5500000.0,927.0,,Thane,Apartment,2,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,5500000.0,600.0,,Thane,Apartment,1,1.0,1 Open,"Kalyan West, Thane",N,,N,
Ready to Move,2700000.0,430.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,4500000.0,855.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Leasehold,N,
Ready to Move,4500000.0,645.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Under Construction,7500000.0,,675.0,Thane,Apartment,2,2.0,1 Open,"Bhoiwada, Thane",N,Freehold,N,
Ready to Move,3800000.0,607.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,6500000.0,950.0,,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,,N,
Ready to Move,2700000.0,603.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,N,
Ready to Move,6500000.0,1080.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,Y,
Ready to Move,3400000.0,580.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,6900000.0,950.0,650.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,Y,1500.0
Ready to Move,6300000.0,927.0,,Thane,Apartment,2,1.0,,"Kalyan West, Thane",N,Co-operative Society,Y,
Ready to Move,2000000.0,,429.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Power Of Attorney,Y,2.0
Ready to Move,13000000.0,1475.0,885.0,Thane,Apartment,3,3.0,1 Covered,"Kalyan West, Thane",N,Freehold,Y,3500.0
Ready to Move,2853100.0,585.0,383.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",Y,,Y,
Ready to Move,3450000.0,550.0,420.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,Freehold,Y,
Under Construction,3500000.0,520.0,400.0,Thane,Apartment,1,1.0,"1 Covered, 1 Open","Kalyan West, Thane",N,Power Of Attorney,Y,
Ready to Move,20000000.0,1115.0,,Thane,Apartment,4,3.0,2 Covered,"Kalyan West, Thane",N,,Y,
Ready to Move,7500000.0,1017.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,Y,
Ready to Move,5000000.0,750.0,,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,,Y,
Ready to Move,6500000.0,850.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Co-operative Society,Y,
Ready to Move,4000000.0,600.0,480.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",Y,Freehold,Y,2500.0
Ready to Move,4800000.0,663.0,450.0,Kalyan,Apartment,1,1.0,,"Kalyan West, Kalyan",N,Freehold,Y,2300.0
Ready to Move,4700000.0,750.0,694.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Co-operative Society,N,
Ready to Move,3600000.0,608.0,466.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,Y,
Ready to Move,5999999.0,1175.0,1000.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,12500000.0,1240.0,,Thane,Apartment,3,4.0,1 Covered,"Rambaug Lane Number 4, Thane",N,Co-operative Society,Y,
Ready to Move,5499000.0,690.0,491.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",N,Freehold,Y,1200.0
Ready to Move,5000000.0,851.0,548.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,Freehold,Y,1500.0
Ready to Move,5200000.0,960.0,648.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,Y,
